node_id,phase,local_transition,field,node_mean,persona_min,persona_max,persona_count
root/baseline/baseline/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,10.78,9.5,12.3,5
root/baseline/baseline/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/baseline/baseline/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,6.98,6.2,8.1,5
root/baseline/baseline/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,28.060000000000002,16.5,36.1,5
root/baseline/baseline/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,12.72,11.2,14.2,5
root/baseline/baseline/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,10.38,9.5,12.6,5
root/baseline/baseline/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/baseline/baseline/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,6.66,6.0,8.3,5
root/baseline/baseline/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,31.34,14.4,38.1,5
root/baseline/baseline/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,12.3,11.2,14.8,5
root/baseline/baseline/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.14,11.4,12.9,5
root/baseline/baseline/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,19.6,18.0,20.0,5
root/baseline/baseline/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,7.8,7.2,8.2,5
root/baseline/baseline/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,19.62,15.5,25.8,5
root/baseline/baseline/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.18,13.5,14.8,5
root/baseline/constraining/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,9.86,7.5,12.4,5
root/baseline/constraining/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/baseline/constraining/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,6.52,5.2,8.2,5
root/baseline/constraining/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,32.8,15.5,46.4,5
root/baseline/constraining/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,11.459999999999999,8.2,14.6,5
root/baseline/constraining/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,10.22,8.9,12.9,5
root/baseline/constraining/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/baseline/constraining/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,6.54,5.8,8.4,5
root/baseline/constraining/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,32.58,13.4,40.2,5
root/baseline/constraining/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,11.98,10.5,14.9,5
root/baseline/constraining/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.38,10.8,13.6,5
root/baseline/constraining/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,19.2,18.0,20.0,5
root/baseline/constraining/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,7.92,6.8,8.9,5
root/baseline/constraining/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,18.36,8.2,29.9,5
root/baseline/constraining/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.3,12.5,15.8,5
root/constraining/enabling/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,11.06,9.2,12.9,5
root/constraining/enabling/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,25.0,25.0,25.0,5
root/constraining/enabling/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,7.08,5.9,8.3,5
root/constraining/enabling/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,27.020000000000003,14.4,39.2,5
root/constraining/enabling/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,12.76,10.5,14.8,5
root/constraining/enabling/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,11.62,10.0,12.6,5
root/constraining/enabling/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,24.4,22.0,25.0,5
root/constraining/enabling/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,7.5,6.5,8.2,5
root/constraining/enabling/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,22.7,15.5,33.0,5
root/constraining/enabling/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,13.5,11.5,14.8,5
root/constraining/enabling/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,13.18,12.1,13.9,5
root/constraining/enabling/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,16.6,12.0,20.0,5
root/constraining/enabling/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,8.46,7.8,8.9,5
root/constraining/enabling/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,12.78,8.2,19.6,5
root/constraining/enabling/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,15.28,14.2,16.1,5
root/constraining/baseline/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,11.28,10.5,12.5,5
root/constraining/baseline/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,23.4,20.0,25.0,5
root/constraining/baseline/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,7.22,6.5,8.0,5
root/constraining/baseline/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,25.580000000000002,17.5,33.0,5
root/constraining/baseline/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,13.06,12.0,14.5,5
root/constraining/baseline/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,11.5,9.8,12.8,5
root/constraining/baseline/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,23.0,20.0,25.0,5
root/constraining/baseline/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,7.24,6.2,8.2,5
root/constraining/baseline/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,25.38,15.5,36.1,5
root/constraining/baseline/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,13.3,11.5,14.9,5
root/constraining/baseline/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.76,11.8,13.1,5
root/constraining/baseline/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,17.0,12.0,20.0,5
root/constraining/baseline/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,8.14,7.5,8.4,5
root/constraining/baseline/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,16.1,13.4,22.7,5
root/constraining/baseline/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.7,13.5,15.2,5
root/constraining/constraining/enabling,Outcomes,enabling,spm_hispanic_child_poverty_rate_2021_pct,11.58,9.5,13.1,5
root/constraining/constraining/enabling,Outcomes,enabling,low_income_food_insufficiency_relative_reduction_pct,23.8,22.0,25.0,5
root/constraining/constraining/enabling,Outcomes,enabling,spm_child_poverty_rate_2021_pct,7.36,6.2,8.4,5
root/constraining/constraining/enabling,Outcomes,enabling,spm_child_poverty_relative_reduction_2020_2021_pct,24.14,13.4,36.1,5
root/constraining/constraining/enabling,Outcomes,enabling,spm_black_child_poverty_rate_2021_pct,13.52,11.2,15.2,5
root/constraining/constraining/baseline,Outcomes,baseline,spm_hispanic_child_poverty_rate_2021_pct,11.46,10.5,12.8,5
root/constraining/constraining/baseline,Outcomes,baseline,low_income_food_insufficiency_relative_reduction_pct,24.0,20.0,25.0,5
root/constraining/constraining/baseline,Outcomes,baseline,spm_child_poverty_rate_2021_pct,7.26,6.5,8.2,5
root/constraining/constraining/baseline,Outcomes,baseline,spm_child_poverty_relative_reduction_2020_2021_pct,25.18,15.5,33.0,5
root/constraining/constraining/baseline,Outcomes,baseline,spm_black_child_poverty_rate_2021_pct,13.34,12.5,14.9,5
root/constraining/constraining/constraining,Outcomes,constraining,spm_hispanic_child_poverty_rate_2021_pct,12.66,11.8,13.2,5
root/constraining/constraining/constraining,Outcomes,constraining,low_income_food_insufficiency_relative_reduction_pct,18.0,12.0,20.0,5
root/constraining/constraining/constraining,Outcomes,constraining,spm_child_poverty_rate_2021_pct,8.12,7.8,8.3,5
root/constraining/constraining/constraining,Outcomes,constraining,spm_child_poverty_relative_reduction_2020_2021_pct,16.3,14.4,19.6,5
root/constraining/constraining/constraining,Outcomes,constraining,spm_black_child_poverty_rate_2021_pct,14.6,13.5,15.1,5
